Location;Specializaion;Position_level;Contract_type;Work_schedule;Work_modes
Warszawa, mazowieckie;Specjalizacje:IT admin;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Frontend, Helpdesk;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:IT admin, Security;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:IT admin, Security;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Security, System analytics;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:Game dev;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Gdynia, Pomeranian;Specializations:Big Data / Data Science;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Business analytics, IT admin, System analytics;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Kraków, Lesser Poland;Specializations:Full-stack;senior specialist (Senior);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;;expert;contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Big Data / Data Science;trainee;contract of mandate;full-time;hybrid work
Wieliczka, ma³opolskie;Specjalizacje:Frontend;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Wieliczka, ma³opolskie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:IT admin, Mobile;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Architecture, Backend, Embedded, Security;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Knurów, œl¹skie;Specjalizacje:Backend;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Product Management;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Rzeszów, Subcarpathia;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Gliwice, œl¹skie;Specjalizacje:Backend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Poznañ, Greater Poland;Specializations:Full-stack;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Business analytics;senior specialist (Senior);contract of employment;full-time;hybrid work
Gdynia, Pomeranian;Specializations:Project Management;senior specialist (Senior);B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:QA/Testing;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Backend;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Kraków, ma³opolskie;Specjalizacje:Full-stack;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Backend;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Mobile;specialist (Mid / Regular);B2B contract;full-time;home office work
Kraków, Lesser Poland;Specializations:Security;specialist (Mid / Regular);contract of employment;full-time;home office work
Tajêcina (pow. rzeszowski), Subcarpathia;;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Mobile;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:QA/Testing;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Product Management;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Tajêcina (pow. rzeszowski), podkarpackie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:Project Management, Security;expert;B2B contract;full-time;home office work, hybrid work
Warszawa, mazowieckie;Specjalizacje:Frontend;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:Backend;junior specialist (Junior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;junior specialist (Junior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Frontend;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:Backend;junior specialist (Junior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;junior specialist (Junior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:QA/Testing;junior specialist (Junior);contract of employment;full-time, part time;hybrid work
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Project Management;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Warszawa, mazowieckie;;kierownik / koordynator, mened¿er;umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:IT admin;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:DevOps;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Agile, Project Management;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Helpdesk;asystent;umowa zlecenie;pe³ny etat;praca zdalna, praca hybrydowa
Katowice, œl¹skie;Specjalizacje:System analytics;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
£ódŸ, ³ódzkie;Specjalizacje:Helpdesk;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca hybrydowa
£ódŸ, ³ódzkie;Specjalizacje:Helpdesk;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca hybrydowa
Wroc³aw, Lower Silesia;Specializations:AI/ML;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, Masovian;;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Czêstochowa, œl¹skie;Specjalizacje:Big Data / Data Science;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca hybrydowa
Gdañsk, Pomeranian;Specializations:Backend;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Sopot, pomorskie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Gdañsk, Pomeranian;Specializations:Mobile;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Wolbrom, ma³opolskie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Toruñ, kujawsko-pomorskie;Specjalizacje:DevOps, IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:DevOps;specialist (Mid / Regular);B2B contract;;home office work
Warszawa, mazowieckie;Specjalizacje:Architecture, Security;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Helpdesk;m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
£ódŸ, ³ódzkie;Specjalizacje:IT admin, Security;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna
Nowy S¹cz, ma³opolskie;Specjalizacje:UX/UI;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:IT admin, Security;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
£ódŸ, £ódŸ;Specializations:Business analytics;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Security;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Big Data / Data Science, System analytics;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:DevOps, Helpdesk;manager / supervisor, team manager;B2B contract;full-time;home office work
Bielsko-Bia³a, Silesian;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;full office work
£ódŸ, ³ódzkie;Specjalizacje:Mobile;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
£ódŸ, ³ódzkie;Specjalizacje:Mobile;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:Full-stack;manager / supervisor;contract of employment, B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Full-stack;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Full-stack;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Big Data / Data Science;specialist (Mid / Regular);contract of employment, B2B contract;full-time;hybrid work
Poznañ, wielkopolskie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:IT admin;kierownik / koordynator;umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:Architecture;senior specialist (Senior);B2B contract;full-time;home office work
Poznañ, wielkopolskie;Specjalizacje:Business analytics, QA/Testing;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Big Data / Data Science;manager / supervisor;contract of employment;full-time;hybrid work
Olsztyn, warmiñsko-mazurskie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Gdañsk, pomorskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Bieruñ, œl¹skie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Gdañsk, pomorskie;Specjalizacje:Product Management;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:SAP&ERP;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca stacjonarna
Wroc³aw, dolnoœl¹skie;Specjalizacje:SAP&ERP;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca stacjonarna
£ódŸ, ³ódzkie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Kraków, Lesser Poland;Specializations:DevOps;senior specialist (Senior);B2B contract;full-time;home office work
Gliwice, œl¹skie;Specjalizacje:Agile, Backend, Full-stack;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o dzie³o, umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:SAP&ERP;kierownik / koordynator;umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;;manager / supervisor;contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Project Management;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Big Data / Data Science;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Project Management;expert;contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Big Data / Data Science;assistant;contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Big Data / Data Science;manager / supervisor;contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular);umowa zlecenie;pe³ny etat;praca zdalna, praca hybrydowa
Kraków, Lesser Poland;Specializations:Big Data / Data Science;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, ma³opolskie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
